building_id,building_type,height,num_floors,latitude,longitude
B000473,unknown,,,17.3776567,78.4198351
B000474,unknown,,,17.3773456,78.419884
B000475,unknown,,,17.3774094,78.4196455
B000476,unknown,,,17.3776838,78.4196837
B000477,unknown,,,17.3771352,78.4195746
B000478,unknown,,,17.3772485,78.4195012
B000479,unknown,,,17.3773775,78.4195654
B000480,unknown,,,17.3773934,78.419404
B000481,unknown,,,17.3774983,78.4194138
B000482,unknown,,,17.3776657,78.4193847
B000483,unknown,,,17.3777122,78.4193811
B000484,unknown,,,17.3780377,78.4194218
B000485,unknown,,,17.3778391,78.4194213
B000486,unknown,,,17.377827,78.4194867
B000487,unknown,,,17.3780865,78.4195684
B000488,unknown,,,17.3782957,78.4195763
B000489,unknown,,,17.3783054,78.4194553
B000490,unknown,,,17.378529,78.4194442
B000491,unknown,,,17.3786626,78.4194132
B000492,unknown,,,17.3789122,78.4193967
B000493,unknown,,,17.3786923,78.419511
B000494,unknown,,,17.3787717,78.4194699
B000495,unknown,,,17.3788178,78.4195634
B000496,unknown,,,17.3787404,78.4195878
B000497,unknown,,,17.3785585,78.4196048
B000498,unknown,,,17.3784848,78.4197738
B000499,unknown,,,17.3784997,78.4198205
B000500,unknown,,,17.3787214,78.4198287
B000501,unknown,,,17.378905,78.4197681
B000502,unknown,,,17.378621,78.4198229
B000503,unknown,,,17.3787459,78.4196398
B000504,unknown,,,17.3791412,78.4197905
B000505,unknown,,,17.3789805,78.4198984
B000506,unknown,,,17.37925,78.4197975
B000507,unknown,,,17.3793568,78.4198186
B000508,unknown,,,17.3792377,78.4199233
B000509,unknown,,,17.3793748,78.4197929
B000510,unknown,,,17.3791743,78.4196458
B000511,unknown,,,17.3793574,78.4197263
B000512,unknown,,,17.3794798,78.4196465
B000513,unknown,,,17.3793536,78.4196108
B000514,unknown,,,17.3791151,78.4196092
B000515,unknown,,,17.3790972,78.4196568
B000516,unknown,,,17.3788765,78.4195965
B000517,unknown,,,17.3790205,78.4193904
B000518,unknown,,,17.3795022,78.419431
B000519,unknown,,,17.379378,78.4194252
B000520,unknown,,,17.3749286,78.419402
B000521,unknown,,,17.3749057,78.4194895
B000522,unknown,,,17.3749869,78.419486
B000523,unknown,,,17.3751261,78.4196001
B000524,unknown,,,17.3750745,78.4195673
B000525,unknown,,,17.375047,78.4195137
B000526,unknown,,,17.3750107,78.4195731
B000527,unknown,,,17.3750146,78.4197342
B000528,unknown,,,17.3750601,78.4199707
B000529,unknown,,,17.3752031,78.4197667
B000530,unknown,,,17.3751642,78.4198966
B000531,unknown,,,17.3752368,78.4199783
B000532,unknown,,,17.3754425,78.4198713
B000533,unknown,,,17.3751941,78.4196637
B000534,unknown,,,17.3758651,78.4197329
B000535,unknown,,,17.3757451,78.4195815
B000536,unknown,,,17.3755115,78.4194639
B000537,unknown,,,17.3755745,78.4194991
B000538,unknown,,,17.3757683,78.419465
B000539,unknown,,,17.3759293,78.4194903
B000540,unknown,,,17.37624,78.4195917
B000541,unknown,,,17.3763976,78.4196128
B000542,unknown,,,17.3765916,78.4197427
B000543,unknown,,,17.3769661,78.4196599
B000544,unknown,,,17.3769769,78.4198142
